company_name,email,website,category,notes
Cockatoo Trade Services (美冠建筑),cockatooservices@gmail.com,cockatootradeservices.com,Builder / Renovation,"QBCC 15235536; Mandarin Cantonese English; Toowong QLD 4066; residential & commercial reno restaurant fitout"
PDMG Design Studio (PDMG建筑设计事务所),info@pdmgstudio.com.au,pdmgstudio.com.au,Building Designer / Architect,"David Liu; Wishart QLD 4122; 15+ years 100+ projects; Chinese & English; residential & commercial design"
LINKFA PTY LTD,aulinkfa@gmail.com,auads.com.au/19141,Renovation,"Wishart QLD 4122; indoor/outdoor renovation; bathroom kitchen flooring painting"
Element Building Supplies (爱保家防盗门窗),eguan@elementbuildingsupplies.com.au,elementbuildingsupplies.com.au,Building Materials / Security Doors & Windows,"Eric Guan 关先生; 18 Trade St Lytton QLD 4178; kitchen & bathroom products wholesaler; security screens & doors"
AB&C Constructions (AB&C建筑公司),admin@abcbuildingandconstructions.com.au,abcbuildingandconstructions.com.au,Builder,"QBCC 15178885; Brisbane; new homes renovations extensions granny flats; Chinese-Australian; Sunnybank Hills Stretton projects"
富艺建筑装饰 (Fuyi Building Decoration),Mdshen1982@gmail.com,sites.google.com/view/mdbuildingdecoration,Renovation / Cabinets,"Mr Shen 沈师傅; Eight Mile Plains QLD 4113; 25+ years; kitchen cabinets wardrobe bathroom whole-house renovation"
鼎峰室内外装修 (Dingfeng Renovation),kejin309@gmail.com,bestong.com.au/business_details.php?Tag=9724,Renovation,"Mr Yang 杨师傅; Sunnybank QLD 4109; QBCC licensed; extensions kitchen bathroom painting flooring pool fencing; $1M insurance"
Wei Ye Construction,wy_construction@hotmail.com,bestong.com.au,Builder / Renovation,"Raymond Xu; Brisbane; licensed Australian builder; residential & commercial renovation and extensions"
DL Best Aluminium Doors & Windows (大利铝合金门窗),sales@dlbest.com.au,dlbest.com.au,Building Materials / Windows & Doors,"Slacks Creek QLD 4127; glass curtain walls aluminium security windows doors; authorized branch of Guangdong Kete Facadetech; alt email info@dlbest.com.au"
J&P Construction,jnp@jnpconstruction.com.au,jnpconstruction.com.au,Builder / Interior Design,"Joshua Lee; 1/10 Smallwood St Underwood QLD 4119; 25 years 250+ projects; Korean-Australian (multi-Asian); commercial & residential"
Queensland Chinese Building & Construction Association (QCBCA),info@qcbca.org.au,qcbca.org.au,Industry Association,"QLD Chinese builder association; member directory access; networking & dispute resolution; good referral source for more contacts"
Australian Chinese Building Association (ACBA),info@acbuilding.org,acbuilding.org,Industry Association,"Est 2011 Melbourne-based but national; non-profit; promotes professional standards in Chinese-Australian construction & property development"
