company_name,email,website,category,location,notes
君安建筑 Jun An Construction,info@excellenthousing.com.au,https://junan.com.au/,Builder / Renovation,"Kew VIC 3101","墨尔本建房装修; VBA registered; 中英文服务; residential & commercial"
凯悦建筑 Kaiyue Construction,info@kaiyue.com.au,https://kaiyue.com.au/,Builder / Renovation,"Cheltenham VIC 3192 / Collins St Melbourne","40年家族装修; DBU+CBU dual licence; 建材仓储展厅; 中英文"
Hong Van Builders,admin@hongvanbuilders.com.au,https://www.hongvanbuilders.com.au/,Builder,"Maidstone VIC 3012","Since 2003; Mandarin/Cantonese/Vietnamese/English; small-medium construction"
Alfion Deco Aus,info@alfiondeco.com.au,https://www.alfiondeco.com.au/,Builder / Shopfitting / Renovation,"Sunshine West VIC 3020","VBA registered; CNC factory; commercial fitouts; kitchen/bathroom; 华人圈知名"
金巍建筑 Kingsway Homes,kingswayau@gmail.com,https://auads.com.au/7201,Builder / Renovation,"Burwood VIC 3125","DB-M39864 registered; new homes; extensions; garages; decking; 华人builder"
Beautiful Housing Construction (BH Construction),Info@bhconstruction.com.au,https://www.bhconstruction.com.au/,Builder / Demolition,"Coburg North VIC","20+ years experience; demolition rebuild renovation; Melbourne suburbs"
AG House Painting & Decoration,aghousepainting@sina.com,https://www.aghousepainting.com.au/,Painting,"Melbourne SE suburbs","Owner George Fu; 26+ years painting; Chinese-owned; residential painting"
方氏验房 Fangs Building Inspections,admin@fangsbuildinginspections.com.au,https://www.fangsbuildinginspections.com.au/,Building Inspector,"Nunawading VIC 3131","华人连锁验房; dual licence building+pest; Sydney & Melbourne; 中英文报告"
安家验房 A Plus House Inspection,info@aplusinsp.com,https://aplusinsp.com.au/,Building Inspector,"Box Hill VIC 3128","Inspections from $299; licensed; 华人验房; bilingual reports"
CUI Engineers,jackie.tsuy@gmail.com,https://www.cuiengineers.com.au/,Structural Engineer,"Glen Waverley VIC","Jackie Cui 20+ years; structural & civil engineering; 服务华人社区; WeChat available"
BH Demolition,chris.zhuang@hotmail.com,https://bhdemolition.com/,Demolition,"Coburg North VIC 3058","华人拆房公司; Chris Zhuang; house demolition excavation asbestos; 10+ years"
Wang Architects,info@wang-arch.com,https://wang-arch.com/,Architect,"South Melbourne VIC 3205","Kenny Wang; residential design; experience in AU & China projects"
Jinding,info@jinding.com.au,https://www.jinding.com.au/,Developer / Builder,"Melbourne CBD (525 Collins St)","Chinese-Australian developer; developments real estate investments; offices in AU & China"
8 Star Metal Engineering,info@8starmetalengineering.com.au,https://8starmetalengineering.com.au/,Steel Fabrication,"Dandenong VIC 3175","Structural steel fabricators; listed on Chinese Business Guide; Melbourne builders"
J Homes (Jaden Homes),info@jhomes.com.au,https://jhomes.com.au/,Building Materials Supplier,"Melbourne VIC","25+ years; premium building materials supplier; contact Nora 0408 194 527"
SUNDRA Energy,info@sundraenergy.com.au,https://sundraenergy.com.au/,Solar Installation,"Warranwood VIC 3134","Solar panel & battery specialist; Chinese language option on website; VIC rebate eligible"
GRC Buxton,admin@grcbuxton.com.au,https://grcbuxton.au/,Commercial Builder,"Port Melbourne VIC 3207","Joint venture with CES (Singapore/Malaysia/Indonesia); commercial residential education"
Ausdraft,sellis@ausdraft.com.au,https://www.ausdraft.com.au/,Building Designer / Drafting,"Malvern East VIC 3145","Since 2001; listed on Chinese Business Guide; home designs extensions multi-unit"
ASE Stone (Australia Stone Expert),info@asestone.com.au,https://www.asestone.com.au/,Stone Benchtops / Building Materials,"Melbourne VIC","Engineered marble benchtops; kitchen stone; fabrication & installation"
