company_name,email,website,category,city,notes
NDK Constructions,info@ndkconstructions.com.au,https://www.ndkconstructions.com.au,Builder,Adelaide,Residential & commercial builder est. 2021
AllenCo Construction,admin@allencoconstruction.com,https://allencoconstruction.com.au,Builder,Adelaide,Family-owned; underpinning & stone home reno specialist; Master Builders Award winner
Golding Projects,email@goldprojects.com.au,https://goldingprojects.com.au,Builder,Adelaide,4th-generation family builder since 1884; custom homes & extensions
Patrick Clare,enquiries@patrickclare.com.au,https://www.renovationsadelaide.com.au,Renovation,Adelaide,Adelaide renovation specialist; kitchen/bathroom/extensions; Licence BLD254826
Adelaide Home Improvements,enquiry@adelaidehomeimprovements.com.au,https://adelaidehomeimprovements.com.au,Renovation,Adelaide,Home extensions and house renovations
SA Renovations,info@sarenos.com.au,https://sarenos.com.au,Renovation,Adelaide,Kitchen/bathroom/laundry reno; Licence BLD306950; Blakeview SA
Statewide Trade Services,contact@statewidetrades.com.au,https://statewidetrades.com.au,Builder,Adelaide,Roofing carpentry painting fencing renovations; Salisbury North SA
Adelaide Building Supplies,sales@adelaidebuildingsupplies.com.au,https://www.adelaidebuildingsupplies.com.au,Building Materials,Adelaide,Building & construction materials supplier
Adelaide & Rural Salvage,wingfield@adelaideruralsalvage.com.au,https://adelaideruralsalvage.com.au,Building Materials,Adelaide,New & recycled timber and building materials; 5-acre yard Wingfield
Lumea Building Design,hello@lumeagroup.com.au,https://lumeagroup.com.au,Building Design,Adelaide,Residential building designers
TPR Electrical,admin@tprelectrical.com.au,https://www.tprelectrical.com.au,Electrician,Adelaide,Commercial & residential electrician; 24/7 service; Magill SA
Line Side Electrical,linesideelec1@gmail.com,https://www.lineside.com.au,Electrician,Adelaide,Family-owned; domestic & commercial electrical; St Marys SA
RCG Electrical,ryan@rcgelectrical.com.au,https://www.rcgelectrical.com.au,Electrician,Adelaide,Residential electrician; Edwardstown SA
Adelaide Plumber Hire,info@adelaideplumberhire.com.au,https://www.whitepages.com.au/adelaide-plumber-hire-12285985,Plumber,Adelaide,217 Flinders Street Adelaide SA 5000
Paul King Plumbing,paulkingplumbing@gmail.com,https://www.paulkingplumbing.com.au,Plumber,Adelaide,Adelaide Hills plumber; family business
TCS Precision Construction,n/a - visit website,https://tcsprecision.com.au,Builder,Adelaide,Chinese-Australian owner Tony Shi; bilingual English/Chinese; ceilings & walls
Distinct Building Co,issitt@iinet.net.au,https://www.distinctbuildco.com.au,Builder,Perth,Small timber frame builder; new builds extensions & 2nd storey; Reg 101418
Coast Homes,info@coasthomeswa.com.au,https://coasthomeswa.com.au,Builder,Perth,Boutique double-storey custom home builder Perth
Perth Renovations Co,info@perthrenovationsco.com.au,https://www.perthrenovationsco.com.au,Renovation,Perth,Licensed builder; bathroom kitchen & alfresco renovations
WAM Renovations,info@wamrenovations.com.au,https://wamrenovations.com.au,Renovation,Perth,Perth fastest quality reno company; Malaga WA; free 1hr consult
Amerex Renovations,admin@amerex.com.au,https://www.amerex.com.au,Renovation,Perth,7x HIA WA Small Builder/Renovator of the Year; Osborne Park WA
Perth Property Improver,info@perthpropertyimprover.com.au,https://www.perthpropertyimprover.com.au,Renovation,Perth,15+ years experience; Morley WA
Perth Building Materials,sales@perthbuildingmaterials.com.au,https://perthbuildingmaterials.com.au,Building Materials,Perth,Building materials supplier
Westgyp,sales@westgyp.com.au,https://westgyp.com.au,Building Materials,Perth,Family-owned 30+ years; plasterboard & building materials; Balcatta WA
Franz Building Supplies,sales@franzbuildingsupplies.com.au,https://franzbuildingsupplies.com.au,Building Materials,Perth,Timber supplies; decking mouldings joinery; Bibra Lake WA
Thornbury Electrics,reception@thornburyelectrics.com.au,https://www.thornburyelectrics.com.au,Electrician,Perth,Family-owned 30+ years; Belmont WA
KRC Electrical,info@krcelectrical.com.au,https://krcelectrical.com.au,Electrician,Perth,Commercial residential industrial; 30+ years; Balcatta WA; 24/7
Ember Plumbing & Gas,admin@emberplumbingperth.com.au,https://emberplumbingperth.com.au,Plumber,Perth,2025 Australian Small Business Champion for Plumbing
Fiddes Fencing,admin@fiddesfencing.com.au,https://fiddesfencing.com.au,Fencing,Perth,WA-owned; 25+ years; Colorbond aluminium timber; Maddington WA
Metal Roofing and Construction,metalroofingandconstruction@outlook.com,https://www.metalroofingandconstruction.com.au,Roofing,Perth,Colorbond installation gutters downpipes; Carine WA
Elite Painting,michael@elitepainting.com.au,https://www.elitepainting.com.au,Painting,Perth,WA-owned; residential & commercial; Perth Mandurah & South West
Cooper & Sons Painting,info@cooperandsonspainting.com.au,https://www.cooperandsonspainting.com.au,Painting,Perth,3rd-generation family business since 1999; Gnangara WA
