company_name,email,website,category,city,notes
Chinese Panda Plumbing,chinaas@hotmail.com,https://chinesepandaplumbing.com.au,Plumber,Sydney,"Licensed plumbers 20+ years experience; Eastwood north-west Sydney; 24/7 emergency; Ph 0430 092 195"
JL Windows and Doors,info@jlwindow.com.au,https://jlwindow.com.au,Windows & Doors,Melbourne,"Chinese-owned aluminium windows & doors; Kilsyth South & Keysborough VIC; 7 years experience; 400+ builder partners; Ph 0481 818 785"
Kaiyue Cabinet (凯悦橱柜),info@kaiyue.com.au,https://kaiyue.com.au,Kitchen & Joinery,Melbourne,"Custom cabinet design & install; kitchen bathroom bedroom; Cheltenham VIC; ABN 54 639 911 818; Ph 0468 898 666 (Jason)"
SNM Australia,sales.snmaustralia@gmail.com,https://www.snmhome.com.au,Kitchen & Joinery,Melbourne,"Kitchen bathroom laundry cabinet maker; benchtops & modern vanity designs; Ph 0420 492 497"
Melbourne Floors Mart (MFM),sales@melbournefloorsmart.com.au,https://melbournefloorsmart.com.au,Flooring,Melbourne,"Largest flooring manufacturer direct sales chain; bamboo laminate solid wood; Thomastown VIC; Ph (03) 9464 3385"
Jacko Flooring (墨尔本地板专家),jackoflooring@gmail.com,https://www.jackoflooring.com,Flooring,Melbourne,"Hardwood flooring specialist; install refinish repair; Blackburn VIC; Ph 0416 936 188"
OZ Flooring Sydney,info@ozflooringsydney.com.au,https://ozflooringsydney.com.au,Flooring,Sydney,"Chinese-owned (Clara Qin); timber floor supply install sand polish; 10+ years experience; Rozelle NSW; Ph 0430 122 150"
Sumi Windows Pty Ltd,carol@sumiwindows.com,https://sumiwindows.com.au,Windows & Doors,Sydney,"Chinese-owned; bilingual English/Chinese support; aluminium windows & doors; Homebush West NSW; Ph 0432 438 056 (EN) / 0416 820 998 (CN)"
Sydney Window and Door,admin@sydneywindowanddoor.com.au,https://sydneywindowanddoor.com.au,Windows & Doors,Sydney,"Chinese header logo; Level 25 100 Mount St North Sydney; Ph 02 9129 5005"
Australia RS Doors & Windows,info@rswindows.com.au,https://www.rswindows.com.au,Windows & Doors,Melbourne/Sydney,"Factory in China; warehouses in Melbourne (Clayton) Sydney (Belmore) Adelaide; aluminium manufacturing since 2005; Ph +61 474 903 399"
HF Imperial Tile,hfimperial@hotmail.com,,Tiles & Stone,Sydney,"Chinese-owned (Frank); wood-grain ceramic tiles; South Granville Sydney West; from $24/sqm; full product certificates; Ph 0420 520 927"
Harrison Finance (恒业信贷),kevin@harrisonfinance.com.au,https://www.harrisonfinance.com.au,Finance Broker,Melbourne,"Chinese mortgage broker; 20+ bank & non-bank lenders; construction loans; Hawthorn East VIC; Ph (03) 7016 8326"
SAM Loans (大进信贷),info@samloans.com.au,https://www.samloans.com.au,Finance Broker,Sydney/Melbourne/Brisbane,"Chinese loan broker; home commercial construction loans; ABN 98094294363; MFAA member; ACL 381725; Ph 02 8251 3222"
SC Brokers (世诚金融),info@scbrokers.com.au,https://www.scbrokerscn.com.au,Finance Broker,Brisbane/Sydney,"Chinese finance broker; Brisbane HQ + Sydney Zetland + Perth; 60+ lender panel; bilingual; Ph +617 3147 8730"
AUSUN Finance,info@ausunfinance.com.au,https://www.ausunfinance.com.au,Finance Broker,Melbourne/Sydney/Brisbane,"Chinese mortgage broker; construction & bridging loans; offices in Camberwell Box Hill Mt Waverley Sydney Brisbane Adelaide Perth; Ph 03 9500 2200"
Yongxin Finance,info@yongxin.com.au,https://yongxinfinance.com.au,Finance Broker,Brisbane,"Chinese finance broker; 10+ years; Mandarin & English; construction loans; Upper Mt Gravatt QLD; ABN 17 607 546 412; Ph 0488 987 881"
Mecone (Winston Yang - Town Planner),info@mecone.com.au,https://mecone.com.au,Town Planner,Sydney/Melbourne/Brisbane,"Leading urban planning consultancy; Chinese-speaking planner Winston Yang on team; offices Sydney Parramatta Melbourne Brisbane; Ph +61 2 8667 8668"
SGA Design (舒郭建筑),info@sgadesign.com.au,https://sgadesign.com.au,Building Designer / Architect,Melbourne,"Chinese-founded (Shu Guo); est 2007; Chinese classical garden + modern design; team includes Mandarin Cantonese speakers; Ph 03 9005 1100"
Era Architecture,guoqingzhou05@hotmail.com,,Building Designer / Architect,Melbourne,"Chinese building designer; interior design & construct; listed on Chinese Business Guide Melbourne; Ph 0411 498 238"
