company_name,email,website,category,notes
ABM Windows (Austwel),info@abmwindows.com.au,abmwindows.com.au,Building Materials - Windows & Doors,铝合金门窗 Cabramatta NSW 2166; formerly Austwel Building Materials
BM Sydney Building Materials,tommy.huang@bmsydney.com.au,bmsydney.com.au,Building Materials - Wholesale,华人建材批发 Cabramatta+Lidcombe; steel/plasterboard/insulation/WPC/windows 30年
Winlux,sales@winlux.com.au,winlux.com.au,Building Materials - Windows & Doors,铝合金门窗 Smithfield NSW 20+年经验 AWS Vantage fabricator
Yongxing Building Materials,yongxingbm@gmail.com,oz365.com.au/listing/永興建築材料公司,Building Materials - Tiles & Bathroom,永兴建材 Rydalmere; 瓷砖/浴具/砖胶直销
Tile Arte,sales@tilearte.com.au,tilearte.com.au,Building Materials - Tiles,瓷砖 Punchbowl NSW 2196 Canterbury Rd
Icon Timber Floor,info@icontimberfloor.com.au,icontimberfloor.com.au,Building Materials - Flooring,木地板/工程地板/乙烯基地板 Newtown; supply+install
Hills Flooring,info@hillsflooring.com.au,hillsflooring.com.au,Building Materials - Flooring,木地板 Castle Hill Hills Super Centre
Marlet Flooring,info@marlet.com.au,marlet.com.au,Building Materials - Flooring,华人地板批发零售 Rydalmere; 澳洲硬木+地毯 established 2015
Elegance Blinds,eleganceblindsau@gmail.com,eleganceblinds.com.au,Building Materials - Blinds & Curtains,窗帘百叶窗 Kingsgrove NSW; roller/vertical/security doors
VMAX Sydney (华隆),sales.vmaxblinds@gmail.com,vmaxsydney.com.au,Building Materials - Blinds & Security Doors,华隆 Greenacre NSW; blinds/shutters/security doors 双语服务
Cheapestiles,info@cheapestiles.com.au,cheapestiles.com.au,Building Materials - Tiles,瓷砖批发 Bankstown; 100万+sqm库存 直接进口 since 2012
Queen Marble Co,queenmarbletpg@tpg.com.au,queenmarble.com.au,Building Materials - Stone & Marble,女皇云石 East Killara; imported+local granite/marble/stone
WEN Architects,info@wenarchitects.com.au,wenarchitects.com.au,Building Designer / Architect,华人建筑设计 Macquarie Park; 澳中两地项目 bilingual
BJ Architects International,info@bjarchitects.com.au,bjarchitects.com.au,Building Designer / Architect,华人建筑设计 Chatswood; residential+commercial
Developer Ideas,info@developerideas.com.au,developerideas.com.au,Property Development Consulting,华人开发咨询 North Sydney; 房产投资/建筑设计/项目营销
AGC Interior,info@agcinterior.com,agcinterior.com.au,Renovation - Commercial Fitout,华人设计装修 Regents Park; 餐厅/咖啡店/零售/办公室 shopfitting
Twenty Interior,info@twentyinterior.com.au,twentyinterior.com.au,Renovation - Commercial Fitout,华人商业装修 Rhodes; cafe/restaurant/shop fitting/office fitout
TD Shopfitting,info@tdshopfitting.com.au,tdshopfitting.com.au,Renovation - Commercial Fitout,同道装修 Chipping Norton; established 1998 commercial interior fitout 华人
Vetiver Kitchens,sales@vetiverjoinery.com,vetiver.com.au,Building Materials - Kitchen & Joinery,华人厨柜定制 Chester Hill; CNC custom cabinets/kitchens/bathrooms since 2008
Da Painting,dashengzhang64@gmail.com,dapainting.com.au,Trades - Painting,华人油漆 Ryde; 30年经验 interior/exterior/commercial
JC Building Contractors (JCBC),info@jcbc.com.au,jcbc.com.au,Builder - Granny Flat & Renovation,悉尼建筑 granny flat/duplex/renovation 17年经验
CTK Projects,admin@ctkprojects.com.au,ctkprojects.com.au,Builder - Residential,悉尼建筑 North Rocks; single+double storey homes/granny flats License 340259C
Hana Timber,hanatimber@gmail.com,hanatimber.com.au,Building Materials - Flooring,华人木地板 Silverwater; hardwood/engineered/vinyl supply+install
