company_name,email,website,category,city,notes
SMETS Building,smetsco@mail.com,https://smets.com.au/,Builder,Hobart,Trusted Hobart builder; quality homes in Southern Tasmania
Bennett Construction Tasmania,office@bennettconstruction.com.au,https://www.bennettconstructiontasmania.com.au/,Builder,Hobart,Family business 3rd generation; 40+ years residential & commercial
Ashbry Builders,contact@ashbrybuilders.com.au,https://ashbrybuilders.com.au/,Builder,Hobart,Small team; owners act as lead builders on site
Skookom Building & Design,enquire@skookom.com.au,https://www.skookom.com.au/,Builder,Hobart,Bespoke builders in Hobart Tasmania
Enhanced Construction Tasmania,enquiries@enhancedconstruction.au,https://enhancedconstruction.au/,Renovation,Hobart,Specialises in finely crafted building projects and home renovations
Avalon DB,info@avalondb.com.au,https://avalondb.com.au/,Renovation,Hobart,High-end home renovations and extensions; kitchen & bathroom
Build 42,info@build42.com.au,https://www.build42.com.au/,Renovation,Hobart,Small company specialising in premium home renovations & extensions
Chris Hill Hobart Handyman,chris@hobarthandyman.com.au,https://www.hobarthandyman.com.au/,Renovation,Hobart,Bathroom solutions and home renovation specialist
WB Bryan Joinery House,reception@joineryhouse.com.au,https://www.joineryhouse.com.au/,Renovation,Hobart,Est. 1982; multi-award winners in kitchen & bathroom design
Build Tech Supplies,admin@buildtechsupplies.com.au,https://www.buildtechsupplies.com.au/,Building Materials,Hobart,Est. 35 years; technical building products for construction & civil
Argus Building Products,sales@asco.net.au,https://www.argustas.com.au/,Building Materials,Hobart,Building supplies distributed Launceston to Hobart across Tasmania
Brock Building Systems,sales@brockbuildingsystems.com.au,https://brockbuildingsystems.com.au/,Building Materials,Hobart,Wide selection of building brands; warehouse on Eastern Shore
A.S. Farr Electrical,admin@farrelectrical.com.au,https://farrelectrical.au/,Electrician,Hobart,Residential & commercial electrician; Hobart based
Dyson Painters,admin@dysonpainters.com.au,https://www.dysonpainters.com.au/,Painter,Hobart,Est. 1964; residential & commercial painting
Mint Plastering,admin@mintplastering.com.au,https://mintplastering.com.au/,Plasterer,Hobart,Local plasterer est. 2021; high-quality service
Hobart Plaster,enquiry@hobartplaster.com.au,https://hobartplaster.com.au/,Plasterer,Hobart,30+ plasterers; 25+ years experience; servicing Southern Tasmania
JMT Builders,travis@jmtbuilders.com.au,https://www.jmtbuilders.com.au/,Builder,Darwin,Local construction company; 25 years experience
Habitat NT,info@habitatnt.com,https://www.habitatnt.com/,Builder,Darwin,Residential & NDIS building contractor; Darwin & surrounds
DJC Build,info@djcbuild.com.au,https://www.djcbuild.com.au/,Builder,Darwin,Locally owned est. 2014; offices in Darwin & Nhulunbuy; mining/gov/commercial
M+J Builders,info@mjbuilders.com.au,https://www.mjbuilders.com.au/,Builder,Darwin,Multi-award-winning NT builder; 15+ years experience
KTM Builders,sales@ktmbuilders.com.au,https://www.ktmbuilders.com.au/,Builder,Darwin,Family owned; affordable new homes since 2014
Scope NT,admin@scopent.com.au,https://scopent.com.au/,Builder,Darwin,Builders Darwin & Alice Springs; construction company NT
Hawkins & Clements,claire@handc.com.au,https://www.hawkinsclements.com.au/,Builder,Darwin,40+ years; commercial/government/mining/civil/residential
NT Construction Solutions,admin@ntconstructionsolutions.com.au,https://ntconstructionsolutions.com.au/,Builder,Darwin,Civil & construction; est. 2012; high rise & industrial
Clarke Constructions NT,accounts@clarkeconstructionsnt.com,https://clarkeconstructionsnt.com/,Builder,Darwin,Family owned; residential & commercial since 2004
Territory Timber & Hardware,sales@territorytimberhardware.com.au,https://www.territorytimberhardware.com.au/,Building Materials,Darwin,Timber roof trusses; wall framing; insulation; servicing Darwin & Katherine
NT Electrical Group,admin@nteg.com.au,https://nteg.com.au/,Electrician,Darwin,Commercial & industrial electricians Darwin
Plumbing NT,admin@plumbingnt.com.au,https://plumbingnt.com.au/,Plumber,Darwin,Plumbing services Darwin NT; head office in Winnellie
All About Plumbing Maintenance,aapm.nt@outlook.com,https://www.allaboutplumbingmaintenance.com/,Plumber,Darwin,Plumber Darwin; maintenance specialist
Florance Electrical,enquiries@floranceelectrical.com.au,https://floranceelectrical.com.au/,Electrician,Darwin,Local residential & commercial electricians; no call out fees
Olympic Concreting & Construction,admin@olympicconcreting.com.au,https://www.olympicconcreting.com.au/,Concreting,Darwin,Concreting services in Darwin
Gold Medal Services NT,admin@gmsnt.com.au,https://gmsnt.com.au/,Trades,Darwin,Multi-trade services in Darwin NT
NEWR (ACT Renovations),admin@newr.com.au,https://newr.com.au/,Renovation,Canberra,Bathroom/kitchen/laundry renovations specialist
Apex Bathroom Renovations,apextilingact@gmail.com,https://www.apexbathroomrenovations.com.au/,Renovation,Canberra,800+ bathroom renovations since 2008; 10-year warranty
Agnew Building Supplies,sales@agnewonline.com.au,https://www.agnewbuildingsupplies.com.au/,Building Materials,Canberra,Online timber and hardware superstore
Gerard's Fences,info@gerardsfences.com.au,https://www.gerardsfences.com.au/,Fencing,Canberra,Fencing for home/commercial/renovations in Canberra
Lido's Fencing,info@lidosfencing.com.au,https://canberrafencingcontractors.com.au/,Fencing,Canberra,Canberra fencing contractors; free quotes for all of ACT
Southside Tilers,info@southsidetilers.com.au,https://southsidetilers.com.au/,Tiling,Canberra,Fully licensed tiling company; residential & commercial across ACT
ECG Electrical,info@ecgelectrical.com,https://ecgelectrical.com/,Electrician/Solar,Canberra,Solar/batteries/hot water/air conditioning/EV charging installation
APro Canberra Painting,info@aprocanberrapainting.com.au,https://www.aprocanberrapainting.com.au/,Painter,Canberra,House painters; commercial painting contractors
Chris Kugler Roofing,chris@ckroofing.com.au,https://www.ckroofing.com.au/,Roofing,Canberra,Family-owned; 30+ years experience; gutter/downpipe/ridgecapping
AVC Roof Plumbing,avcroofplumbing@gmail.com,https://www.avcroofplumbing.com.au/,Roof Plumbing,Canberra,Family owned; 10+ years roofing & guttering solutions
