company_name,email,website,category,city,notes
DW Tiles,office@dwtiles.com.au,https://www.dwtiles.com.au,Tiles & Stone,Sydney,Independent wholesale tile supplier with Sydney/Brisbane/Melbourne locations; 30+ years in business
Tessellated Tile Factory,info@ttfactory.com.au,https://tessellatedtilefactory.com.au,Tiles & Stone,Sydney (Annandale),Makes own tile patterns in Sydney factory; wholesale pricing
Tile Factory Outlet (TFO),enquiries.commercial@tfo.com.au,https://www.tfo.com.au,Tiles & Stone,Sydney (Smithfield),50+ years in tiling industry; commercial wholesale available; 2 Sydney showrooms
Tile Supplier,info@tilesupplier.com.au,https://tilesupplier.com.au,Tiles & Stone,Melbourne,60000+ sqm stock; next-day Melbourne metro delivery; competitive trade pricing
Northern Tile Distributors,info@ntiled.com.au,https://ntiled.com.au,Tiles & Stone,Melbourne (Thomastown),Wholesale prices for builders; large selection of tile products
Imperial Aluminium,info@imperialaluminium.com.au,https://www.imperialaluminium.com.au,Windows & Doors,Melbourne (Werribee),Manufacturer of custom aluminium windows & doors; 20+ years experience
Window Warehouse,sales@windowwarehouse.com.au,https://www.windowwarehouse.com.au,Windows & Doors,Melbourne (Somerville),Ready-made aluminium and timber windows; immediate pickup available
The Joinery,steven@renopack.com.au,https://thejoinery.net.au,Kitchen & Joinery,Sydney (Ingleburn),Wholesale kitchen manufacturer; own factory in Sydney; serves developers and renovators
Peerless Joinery,sales@peerlesjoinery.com.au,https://www.peerlessjoinery.com.au,Kitchen & Joinery,Sydney (Kings Park),25+ years kitchen manufacturing; supply-only and full installation options
Melbourne Joinery Services,info@melbournejoinery.com.au,https://melbournejoinery.com.au,Kitchen & Joinery,Melbourne (Ferntree Gully),Custom joinery and cabinet solutions; bathroom/kitchen/full home packages
Vitality Kitchens & Joinery,enquiries@vitalityonline.com.au,https://vitalityonline.com.au,Kitchen & Joinery,Sydney (Penrith),20+ years experience; serves Western Sydney and Blue Mountains
AV Custom Kitchens & Joinery,info@avcustomkitchensandjoinery.com.au,https://www.avcustomkitchensandjoinery.com.au,Kitchen & Joinery,Sydney,Custom cabinetry; serves Northern Beaches/Sydney Metro/Wollongong
Woodcut,sales@woodcut.com.au,https://woodcut.com.au,Flooring,Melbourne (Richmond),Premium timber flooring; showrooms in Melbourne/Sydney/Adelaide/Brisbane
Pricewise Insulation,sales@pricewise.com.au,https://pricewiseinsulation.com.au,Insulation,Melbourne (Epping),Warehouses in Melbourne/Sydney/Brisbane/Adelaide; competitive wholesale pricing
Better Batt Insulation,enquiries@betterbattinsulation.com.au,https://betterbattinsulation.com.au,Insulation,Melbourne (Bayswater),Bulk buy options for trade; serves Melbourne and Regional Victoria
Insulation Essentials,sales@insulationessentials.com,https://insulationessentials.com.au,Insulation,Melbourne (Craigieburn),Serving Melbourne builders since 2000; 2 VIC locations
Singh Roofing Supplies,info@singhroofingsupplies.com.au,https://singhroofingsupplies.com.au,Roofing,Melbourne (Truganina),Nationwide delivery; metal roofing and flashings; quick turnaround
Roofing & Sheetmetal Centre,sales@rscentre.com.au,https://rscentre.com.au,Roofing,Melbourne (Noble Park North),Custom sheet metal manufacturer; Colorbond/Zincalume/Galvanised Steel
All Metal Roofing,salessyd@allmetalaust.com.au,https://www.allmetalroofing.com.au,Roofing,Sydney (Wetherill Park),7 NSW locations; manufacturer of architectural panels/guttering/flashings
Nepean Landscape Supplies,customercare@nepeanlbs.com.au,https://nepeanlbs.com.au,Landscaping Materials,Sydney (Horsley Park),Bulk landscaping & civil materials; Sydney-wide delivery
Waratah Supplies,enquiries@1300waratah.com.au,https://www.waratahsupplies.com.au,Landscaping Materials,Sydney (Gregory Hills),10+ years serving greater Sydney; building/landscaping/garden supplies
Sand4U,sales@sand4u.com,https://www.sand4u.com.au,Landscaping Materials,Sydney (Sefton),Wholesale soils/sands/gravels; serves Sydney Bayside and Western suburbs
Daisy's Garden Supplies,sale@daisysgarden.com.au,https://daisysgarden.com.au,Landscaping Materials,Melbourne,9 stores across Melbourne and Geelong; trade supplier for landscapers
The Smart Lock Shop,Sales@thesmartlockshop.com.au,https://thesmartlockshop.com.au,Smart Home / Security,Sydney,Nationwide supply & installation by licensed locksmiths
Solar Masters,sales@solarmasters.com.au,https://www.solarmasters.com.au,Solar / Energy,Brisbane,Offices in Brisbane/Sydney/Melbourne/Cairns; commercial and residential solar
Jet Solar,info@jetsolar.com.au,https://www.jetsolar.com.au,Solar / Energy,Melbourne (Rowville),15+ years experience; 2500+ installations; Victorian specialist
ADS Solar,sales@adssolar.com.au,https://www.adssolar.com.au,Solar / Energy,Sydney (Norwest),Offices in Sydney/Melbourne/Brisbane/Adelaide/Canberra; commercial solar
Hybrid Solar Solutions,info@hybridsolarsolutions.com.au,https://www.hybridsolarsolutions.com.au,Solar / Energy,Brisbane (Greenslopes),Brisbane and Melbourne offices; solar & battery installation specialist
DW Tiles Brisbane,officeqld@dwtiles.com.au,https://www.dwtiles.com.au,Tiles & Stone,Brisbane (Stapylton),Brisbane branch of DW Tiles; wholesale tile supplier
Woodcut Sydney,salesnsw@woodcut.com.au,https://woodcut.com.au,Flooring,Sydney (Waterloo),Sydney showroom of Woodcut; premium timber flooring
Woodcut Brisbane,salesqld@woodcut.com.au,https://woodcut.com.au,Flooring,Brisbane (Fortitude Valley),Brisbane showroom of Woodcut; premium timber flooring
